City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Lorengau,PG,80.67,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
8,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
15,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
20,Viedma,AR,84.56,clear sky,-40.8135,-62.9967,Níjar
23,Basco,PH,78.03,overcast clouds,20.4487,121.9702,Tawsen Hotel
26,Hilo,US,78.24,heavy intensity rain,19.7297,-155.09,Dolphin Bay Hotel
28,São João Nepomuceno,BR,76.59,overcast clouds,-21.54,-43.0106,Hotel Central
30,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
53,Lahaina,US,78.8,clear sky,20.8783,-156.6825,Best Western Pioneer Inn
71,Faanui,PF,81.0,light rain,-16.4833,-151.75,Oa Oa Lodge
83,Cockburn Town,TC,76.59,clear sky,21.4612,-71.1419,The Salt Raker Inn
84,Flic en Flac,MU,77.56,few clouds,-20.2742,57.3631,Villas Caroline
91,Kupang,ID,78.82,broken clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
101,Acapulco de Juárez,MX,84.02,few clouds,16.8634,-99.8901,Hotel del Valle
102,Mahébourg,MU,77.29,scattered clouds,-20.4081,57.7,Grand Bel Air
104,Mahajanga,MG,80.62,moderate rain,-15.7167,46.3167,Vahiny Hotel
105,Catalão,BR,75.69,light rain,-18.1658,-47.9464,Lindoya
112,San Fernando,PH,78.53,broken clouds,15.0286,120.6898,Pampanga Lodge and Restaurant
114,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
115,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,Hotel valencia
116,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
119,Winneba,GH,79.41,broken clouds,5.3511,-0.6231,Lagoon lodge Resort
120,Atuona,PF,77.77,light rain,-9.8,-139.0333,Pearl Resort
121,Isangel,VU,77.11,few clouds,-19.55,169.2667,Tanna Lodge
128,George Town,MY,81.23,few clouds,5.4112,100.3354,Page 63 hostel
129,Sabang,ID,79.09,light rain,5.8933,95.3214,Sabang Hill
130,Itarema,BR,81.97,clear sky,-2.9248,-39.9167,Pousada Oásis
141,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Horisun
154,Gualeguaychú,AR,88.07,clear sky,-33.0094,-58.5172,Praga
160,Santa Maria,BR,85.1,clear sky,-29.6842,-53.8069,Hotel Morotin
164,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
169,Aguachica,CO,86.67,scattered clouds,8.3084,-73.6166,Hotel la Floresta
