City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.79,70,4,17.9,clear sky
1,Chokurdakh,RU,70.6333,147.9167,-15.77,94,100,12.39,overcast clouds
2,Assiut,EG,27.181,31.1837,62.78,55,1,5.59,clear sky
3,Lorengau,PG,-2.0226,147.2712,80.67,80,100,6.08,overcast clouds
4,Yuancheng,CN,36.652,107.7896,21.2,32,0,6.33,clear sky
5,Port Alfred,ZA,-33.5906,26.891,73.89,89,100,5.75,overcast clouds
6,Qaanaaq,GL,77.484,-69.3632,2.05,94,100,4.94,overcast clouds
7,Burnie,AU,-41.0667,145.9167,52.95,68,79,12.55,broken clouds
8,Kapaa,US,22.0752,-159.319,80.92,72,0,18.41,clear sky
9,Chifeng,CN,42.2683,118.9636,3.34,37,0,8.46,clear sky
10,Mataura,NZ,-46.1927,168.8643,63.48,54,39,2.86,scattered clouds
11,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,23.02,light rain
12,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,100,26.46,light snow
13,Nikolskoye,RU,59.7035,30.7861,26.49,89,86,10.07,overcast clouds
14,Jamestown,US,42.097,-79.2353,37.02,42,0,1.01,clear sky
15,Souillac,MU,-20.5167,57.5167,77.38,78,40,11.5,scattered clouds
16,Saint George,US,37.1041,-113.5841,45.43,59,0,3.0,clear sky
17,Kromy,RU,52.6876,35.7667,29.95,98,100,8.39,snow
18,Saint Anthony,US,45.0205,-93.218,35.83,82,100,20.71,light rain
19,Palmer,US,42.1584,-72.3287,39.78,45,0,14.97,clear sky
20,Viedma,AR,-40.8135,-62.9967,84.56,18,0,13.51,clear sky
21,Sioux Lookout,CA,50.1001,-91.917,28.47,86,100,6.91,overcast clouds
22,Cidreira,BR,-30.1811,-50.2056,72.61,52,0,14.12,clear sky
23,Basco,PH,20.4487,121.9702,78.03,74,100,27.04,overcast clouds
24,Mergen,CN,49.1833,125.2167,-4.97,86,91,11.01,overcast clouds
25,Hasaki,JP,35.7333,140.8333,46.8,57,0,28.32,clear sky
26,Hilo,US,19.7297,-155.09,78.24,93,100,3.0,heavy intensity rain
