City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Laela,TZ,2022-12-13 01:46:21,-8.5667,32.05,61.21,90,100,3.11
1,Victoria,HK,2022-12-13 01:42:09,22.2855,114.1577,61.32,67,97,13.0
2,Puerto Ayora,EC,2022-12-13 01:46:22,-0.7393,-90.3518,70.56,95,50,1.99
3,Saint George,US,2022-12-13 01:43:44,37.1041,-113.5841,39.94,72,0,3.44
4,Mataura,NZ,2022-12-13 01:46:23,-46.1927,168.8643,79.57,32,91,2.91
5,Tautira,PF,2022-12-13 01:46:23,-17.7333,-149.15,76.03,78,100,12.3
6,Ushuaia,AR,2022-12-13 01:42:45,-54.8,-68.3,47.86,61,75,5.75
7,Longyearbyen,SJ,2022-12-13 01:46:24,78.2186,15.6401,6.64,61,75,17.27
8,Kapaa,US,2022-12-13 01:46:00,22.0752,-159.319,84.18,69,40,23.02
9,Albany,US,2022-12-13 01:44:15,42.6001,-73.9662,23.65,73,6,3.74
10,Moussoro,TD,2022-12-13 01:46:25,13.6408,16.4901,68.99,13,36,10.09
11,Magadan,RU,2022-12-13 01:46:25,59.5667,150.8,-17.1,78,36,5.1
12,Nikolskoye,RU,2022-12-13 01:46:26,59.7035,30.7861,19.29,92,86,7.2
13,Pio Ix,BR,2022-12-13 01:46:26,-6.8375,-40.5792,76.62,42,85,6.08
14,Rikitea,PF,2022-12-13 01:46:27,-23.1203,-134.9692,75.49,79,5,21.88
15,Tual,ID,2022-12-13 01:46:28,-5.6667,132.75,80.33,78,100,2.93
16,Detva,SK,2022-12-13 01:46:28,48.5608,19.4195,23.74,94,72,3.71
17,Fortuna,US,2022-12-13 01:46:29,40.5982,-124.1573,46.74,91,100,3.44
18,New Norfolk,AU,2022-12-13 01:46:29,-42.7826,147.0587,64.89,45,96,1.99
19,Otane,NZ,2022-12-13 01:42:51,-39.8833,176.6333,67.01,60,70,11.52
20,Hobart,AU,2022-12-13 01:44:24,-42.8794,147.3294,65.23,51,40,12.66
21,East London,ZA,2022-12-13 01:46:30,-33.0153,27.9116,71.73,87,98,22.88
22,Avarua,CK,2022-12-13 01:46:31,-21.2078,-159.775,80.65,61,75,5.75
23,Ancud,CL,2022-12-13 01:46:31,-41.8697,-73.8203,54.28,91,93,4.56
24,Aktash,RU,2022-12-13 01:46:32,50.3,87.7333,-2.07,97,100,5.21
25,Jamestown,US,2022-12-13 01:42:24,42.097,-79.2353,28.71,72,100,5.75
26,Busselton,AU,2022-12-13 01:46:33,-33.65,115.3333,71.69,43,81,14.47
27,Bulancak,TR,2022-12-13 01:46:33,40.9372,38.2291,57.02,72,75,2.3
28,Ribeira Grande,PT,2022-12-13 01:46:34,38.5167,-28.7,61.77,77,73,15.99
29,Hilo,US,2022-12-13 01:46:34,19.7297,-155.09,78.53,78,20,8.05
30,Oranjemund,NA,2022-12-13 01:46:35,-28.55,16.4333,65.26,84,0,4.97
31,Leningradskiy,RU,2022-12-13 01:46:35,69.3833,178.4167,-4.77,71,100,27.51
32,Bardiyah,LY,2022-12-13 01:46:36,31.7561,25.0865,62.33,69,78,13.58
33,Warrington,GB,2022-12-13 01:46:36,53.3925,-2.5802,34.86,94,100,5.75
34,Bluff,NZ,2022-12-13 01:46:37,-46.6,168.3333,63.82,71,84,11.81
35,Dvurechensk,RU,2022-12-13 01:46:37,56.5982,61.0953,23.49,70,100,10.13
36,Tuktoyaktuk,CA,2022-12-13 01:46:38,69.4541,-133.0374,3.2,78,100,14.97
37,Estevan,CA,2022-12-13 01:45:23,49.1334,-102.9842,25.0,86,100,8.05
38,Rocha,UY,2022-12-13 01:46:38,-34.4833,-54.3333,55.96,80,9,6.44
39,Provideniya,RU,2022-12-13 01:46:39,64.3833,-173.3,12.36,73,75,13.42
40,Faanui,PF,2022-12-13 01:46:39,-16.4833,-151.75,77.52,78,100,23.98
41,Vaini,TO,2022-12-13 01:46:40,-21.2,-175.2,77.16,94,100,13.8
42,Birjand,IR,2022-12-13 01:46:40,32.8663,59.2211,27.07,80,0,6.91
43,Marinette,US,2022-12-13 01:46:41,45.1,-87.6307,32.49,80,41,7.11
44,Belaya Gora,RU,2022-12-13 01:46:41,68.5333,146.4167,-16.46,98,100,5.99
45,Khatanga,RU,2022-12-13 01:46:04,71.9667,102.5,2.82,89,100,19.04
46,Katsuura,JP,2022-12-13 01:46:42,35.1333,140.3,46.42,93,100,6.17
47,Yar-Sale,RU,2022-12-13 01:46:43,66.8333,70.8333,-17.73,98,8,8.03
48,Saldanha,ZA,2022-12-13 01:47:43,-33.0117,17.9442,64.45,95,1,5.61
49,Kavaratti,IN,2022-12-13 01:47:44,10.5669,72.642,80.44,80,100,20.29
50,Dori,BF,2022-12-13 01:47:44,14.0354,-0.0345,70.09,14,57,9.48
51,Port Elizabeth,ZA,2022-12-13 01:47:45,-33.918,25.5701,72.1,93,20,6.91
52,Tura,IN,2022-12-13 01:47:45,25.5198,90.2201,63.86,74,7,1.79
53,Natal,BR,2022-12-13 01:47:19,-5.795,-35.2094,79.45,78,20,9.22
54,Port Lincoln,AU,2022-12-13 01:44:51,-34.7333,135.8667,64.09,54,16,19.13
55,Yellowknife,CA,2022-12-13 01:46:01,62.456,-114.3525,-6.45,77,40,15.01
56,Kijang,KR,2022-12-13 01:47:46,35.2442,129.2139,46.13,49,2,14.76
57,Najran,SA,2022-12-13 01:47:47,17.4924,44.1277,54.25,64,0,1.19
58,Drayton Valley,CA,2022-12-13 01:45:23,53.2168,-114.9854,-0.56,96,11,4.65
59,Eureka,US,2022-12-13 01:47:48,40.8021,-124.1637,47.01,90,58,1.01
60,Castro,BR,2022-12-13 01:47:48,-24.7911,-50.0119,66.02,99,100,3.98
61,Kadipaten,ID,2022-12-13 01:47:49,-8.1357,113.2158,84.72,69,100,3.38
62,Bitung,ID,2022-12-13 01:47:49,1.4451,125.1824,86.85,65,28,1.72
63,Vila Velha,BR,2022-12-13 01:43:38,-20.3297,-40.2925,80.55,90,75,9.22
64,Havoysund,NO,2022-12-13 01:47:50,70.9963,24.6622,25.03,76,100,11.16
65,Atuona,PF,2022-12-13 01:46:01,-9.8,-139.0333,78.19,79,6,18.03
66,Kasongo,CD,2022-12-13 01:47:51,-4.45,26.6667,66.09,98,100,1.14
67,Juba,SS,2022-12-13 01:47:51,4.8517,31.5825,76.73,66,92,2.57
68,Saint-Philippe,RE,2022-12-13 01:47:52,-21.3585,55.7679,72.99,85,20,9.42
69,Qaanaaq,GL,2022-12-13 01:47:52,77.484,-69.3632,-2.24,66,100,7.9
70,Itupiranga,BR,2022-12-13 01:47:53,-5.1347,-49.3267,77.32,96,99,2.26
71,Alyangula,AU,2022-12-13 01:47:53,-13.8483,136.4192,86.77,63,95,5.55
72,Hithadhoo,MV,2022-12-13 01:47:54,-0.6,73.0833,81.48,76,99,14.2
73,Bredasdorp,ZA,2022-12-13 01:47:54,-34.5322,20.0403,67.84,93,33,5.99
74,Aykhal,RU,2022-12-13 01:47:55,66.0,111.5,-15.61,100,97,5.99
75,Roald,NO,2022-12-13 01:47:55,62.5833,6.1333,23.14,63,0,11.5
76,Tarakan,ID,2022-12-13 01:45:02,3.3,117.6333,81.9,78,40,4.61
77,Saskylakh,RU,2022-12-13 01:47:56,71.9167,114.0833,-7.71,97,100,5.41
78,Kotido,UG,2022-12-13 01:47:56,2.9806,34.1331,69.3,60,38,7.9
79,San Francisco,US,2022-12-13 01:43:31,37.7749,-122.4194,50.11,79,20,10.36
80,Ballina,AU,2022-12-13 01:47:57,-28.8667,153.5667,78.78,64,9,12.3
81,Cape Town,ZA,2022-12-13 01:47:58,-33.9258,18.4232,68.41,91,75,9.22
82,Riosucio,CO,2022-12-13 01:47:58,5.4216,-75.7032,57.33,98,89,1.34
83,Port Alfred,ZA,2022-12-13 01:47:59,-33.5906,26.891,71.44,90,100,24.56
84,Naze,JP,2022-12-13 01:47:59,28.3667,129.4833,65.32,58,72,15.79
85,Flinders,AU,2022-12-13 01:48:00,-34.5833,150.8552,79.05,42,0,11.99
86,Arraial Do Cabo,BR,2022-12-13 01:48:00,-22.9661,-42.0278,78.76,83,75,4.61
87,Lagoa,PT,2022-12-13 01:48:01,39.05,-27.9833,59.97,80,94,31.99
88,Garmsar,IR,2022-12-13 01:48:02,35.2182,52.3409,41.76,55,66,3.29
89,Lazaro Cardenas,MX,2022-12-13 01:48:02,17.9583,-102.2,75.52,81,3,3.47
90,Mirabad,AF,2022-12-13 01:48:03,30.4362,61.8383,45.3,59,0,5.57
91,Alexandria,EG,2022-12-13 01:48:03,31.2156,29.9553,66.67,71,99,8.99
92,Bambous Virieux,MU,2022-12-13 01:48:04,-20.3428,57.7575,76.21,83,75,11.5
93,Perbaungan,ID,2022-12-13 01:48:05,3.5679,98.956,76.01,92,100,3.83
94,Thompson,CA,2022-12-13 01:44:19,55.7435,-97.8558,24.96,100,100,2.3
95,Mayo,US,2022-12-13 01:44:32,38.8876,-76.5119,41.5,70,100,11.5
96,Tasiilaq,GL,2022-12-13 01:48:06,65.6145,-37.6368,26.76,81,99,5.79
97,Bairiki,KI,2022-12-13 01:48:06,1.3292,172.9752,86.0,70,20,8.05
98,Popondetta,PG,2022-12-13 01:49:07,-8.7537,148.2534,92.08,53,88,5.77
99,Hermanus,ZA,2022-12-13 01:49:07,-34.4187,19.2345,66.79,95,64,5.61
100,Sorong,ID,2022-12-13 01:49:08,-0.8833,131.25,82.15,71,100,1.7
101,Emba,KZ,2022-12-13 01:49:08,48.8264,58.1442,11.41,73,0,7.72
102,Araouane,ML,2022-12-13 01:49:09,18.9048,-3.5265,69.26,15,0,7.2
103,Sept-Iles,CA,2022-12-13 01:49:02,50.2001,-66.3821,11.05,83,75,8.05
104,Kodiak,US,2022-12-13 01:49:09,57.79,-152.4072,29.71,51,0,3.44
105,Ilulissat,GL,2022-12-13 01:49:10,69.2167,-51.1,12.22,67,75,4.61
106,Vestmannaeyjar,IS,2022-12-13 01:49:11,63.4427,-20.2734,32.92,72,14,7.81
107,Adre,TD,2022-12-13 01:49:11,13.4667,22.2,62.08,17,33,10.98
108,Santa Rosa,PH,2022-12-13 01:44:34,14.3122,121.1114,86.11,72,100,6.58
109,The Valley,AI,2022-12-13 01:49:12,18.217,-63.0578,77.09,58,0,7.09
110,Vuktyl,RU,2022-12-13 01:49:13,63.8567,57.3094,-25.2,100,53,3.85
111,Witu,KE,2022-12-13 01:49:13,-2.3889,40.4382,78.96,88,4,3.36
112,Mount Vernon,US,2022-12-13 01:44:49,40.9126,-73.8371,32.9,71,0,5.99
113,Mocuba,MZ,2022-12-13 01:49:14,-16.8392,36.9856,73.04,95,87,2.53
114,Kastamonu,TR,2022-12-13 01:49:14,41.5,33.6667,40.55,93,27,1.7
115,Joacaba,BR,2022-12-13 01:49:15,-27.1781,-51.5047,68.0,99,51,1.32
116,Wagar,SD,2022-12-13 01:49:15,16.1525,36.2032,71.35,71,0,9.1
117,Lake Charles,US,2022-12-13 01:46:45,30.2131,-93.2044,65.98,96,0,4.61
118,Mount Isa,AU,2022-12-13 01:49:16,-20.7333,139.5,94.77,13,1,11.5
119,Kyra,RU,2022-12-13 01:49:17,49.5776,111.9753,-12.46,72,13,7.85
120,Novaya Malykla,RU,2022-12-13 01:49:17,54.2,49.95,18.79,79,7,9.4
121,Alice Springs,AU,2022-12-13 01:49:18,-23.7,133.8833,81.95,16,67,11.5
